rating,product,rev_title,rev_body
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Great perfume! Cute bottle! Good shipping!,"This is a wonderful, light floral, fruity scent that will not overwhelm. It’s exotic and exactly what I was looking for! Thanks?"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",The bottle is beautiful 👑,The smell is soft yet stands out when you walk into a room. I bought this perfume blindsided by the reviews and I will say I am not disappointed. I would suggest you use it after the shower or on top of lotion to make it last longer.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Light beautifully scented perfume,This perfume has an aroma of light flowers and is not heavy at all. Longevity of the scent is allusive; the aroma  becomes so normalized that one does not notice it and then one gets a whiff of the scent again to prove that it is still there.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Great smell traveled well in shipping,Scent is perfect I love it comparable to Prada candy yet it has its own notes and scent. It is perfect for night or day wear. Might need to reapply before you go out. Just in case people have told me I smelt good even after I forget I put it on.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Legit!!!,"Such a great price! I was a little worried about this being fake or damaged, like some of the reviews stated. This is in fact the real deal!!! So pumped!"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",10/10 A STEAL FOR $26,"Absolutely delicious, sweet top notes, stays on for a long time in a delightfully mature but sweet scent. It’s seriously amazing especially for summer and spring, I’m 23 and I love sweeter perfumes (juicy couture viva la juicy, black opium, bombshell by Victoria’s Secret ). I didn’t used to have a top 4 but now I absolutely do!! I had my mom smell it too and she loved the way the perfume diffused on, the base notes are sweet and you can smell the vanilla, the woodsy notes that give it more depth and just a trace of powder (I hate powdery perfumes with a passion.) to keep the scent a bit more mature :)"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce","Wait for the ""Cool down.""","At first, when you spray this, it will smell very strong like a musky perfume. Yet as the scent settles, the undertones really shine through and are really lovely. The vanilla is really sweet, and reminds me of something from my childhood that I can't quite put my finger on. You don't need to layer this type of scent, and it lasted almost the whole day. (I'm a cigarette smoker, so this says a TON.)  I usually go for more fruity scents, yet I'm glad I took a chance on this one."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Perfect!,"I only paid for the 1.7 oz bottle but was sent the 3.4 :) pretty excited about that, maybe bc the shipping took longer than expected... Totally not a knockoff this is the real thing, maybe others got a bad batch?? No alcohol smell whatsoever, just princess ❤️❤️ Super happy. Thanks so much!"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Love this perfume!!!!!,I love this perfume scent is so beautiful floral but very soft nothing that strong but it’s just has that unique note that’s really nice I think anybody who likes a very soft perfume would like this it’s definitely not like a Chanel number five number five
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Warm comforting scent,"I really love this scent.  It's warm and comforting. Think Fall time, Vanilla/Chocolate/Amber scent."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",SO GOOD!!,"i don't know about you, but if you like a hint of fruit with a strong smell then this is for you!! this is the type of smell you would dream of when leaving the shower. this is not a mist, but it just smells amazing! the size is also perfect. not too big or too small. this is definitely worth the price and i would DEFINITELY purchase again if i ran out!!"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",princess,love this ...smells so good ….my grandson thinks its cotton candy....lol....it lasts all day too....big bottle for the price ...
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Lovely fragrance,"It smells so sweet, I always get compliments.the bottle is absolutely darling as well. Been wearing this since I was a teen and it suits women of all ages."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Worth The Buy! WON’T BE DISAPPOINTED I PROMISE 🥰,This perfume is very subtle and long lasting. I never underestimated Vera Wang’s taste in perfume but this is my first perfume from her collection and I’m very impressed and the price is pretty decent. Honestly whenever I’m about to put on the perfume I feel like a princess 👸🏽 putting her  👑 on and ready to be outstanding. I always receive compliments especially from my husband’s Grandma that wouldn’t stop hugging me the first time she smelled it on me.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Wonderful light scent,"Anyone who smells this on your skin will love it. The scent is not too strong nor too light, it's just right (GoldieLocs approved) ☺ This is a wonderful scent for a tween or adult. Vera knows her stuff!"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Smells Incredible,Very happy customer. Would definitely recommend this perfume.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Awesome Customer Service,The 5 Star rating is for the seller. The perfume scent is not for me. I messaged the seller and understand the reason. The seller made the return so convenient for me. Thank you.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",🥰,The scent is soft & it stays for a LONG time! I like soft smells & this one did not disappoint
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Smells wonderful and love the bottle it comes in!,I love this perfume!  And the bottle is so pretty.  I get compliments on it every time I wear it!  Found it in a lighting deal before Christmas and got 3.4 ounces for $15!  Unbelievable price!
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",This is my favorite perfume!,Been wearing this perfume for about ten years. I remember paying almost 100 dollars for a 3.5 ounce bottle. I’m so happy the price has come down. I purchased two bottles in case they discontinue it. I usually am able to make a bottle last close to a year.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Great inexpensive perfume,"This was a gift for my wife. I bought it based on price and reviews. It smells great and lasts long enough. In my opinion, it's the perfect supplemental perfume to her primary, more expensive ones (light blue & bombshell).Its very floral"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Good smell! Smells like every other perfume,"Very nice smell! It doesn’t smell super different than most perfumes! It smells like that classic elegant smell. I would get this, but if you are looking for something unique, I wouldn’t recommend."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Wonder smell. Beautiful bottle. Perfect for the princess in ur life!,Bought this for my daughter for Xmas. She likes a light pleasant sent. Perfect. After I smelled it decided I'm probably going to order me a bottle and I'm very picky about perfume.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Smells so good!!!,I love this scent so much. It's sweet but subtle. I wear it as an everyday perfume. I'd definitely buy this again!!
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Good one to go with,"It’s always a gamble buying perfumes online if you’ve never smelt them before. Bought this for the wife. Figured, it should be ok...and yea, it was. It is awesome. Smells really good and even better on her. It’s not overwhelming and last quite a while. Would highly recommend."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Sister loves it,My sister's favorite scent. Got as a gift
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Lovely,"My husband got this for me for my birthday. Good sized bottle, scent is nice and soft and not overpowering. One spray is plenty and lasts a while. I love it"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Beautiful long lasting scent!,This perfume is long lasting and comes in a beautiful bottle! My daughter loved it!
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Lasts all day!,"This is my signature scent. It’s fruity, floral and feminine. You don’t need much at all, and it lasts all day. My fiancé LOVES the way this smells on me."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Best perfume I have ever smelled.,Got this for the wife and it's fantastic. Comes in an adorable little heart which doesnt have to be set down correctly to stay upright. Kind of cool. The scent is very alluring without being overpowering. Probably the best perfume I have ever smelled.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",This perfume smells great and last for a long time.,This perfume is perfect for teens and adults. Smells great!The fragrance of this perfume is really nice. It not to strong but not too subtle. It great to wear with a pair for jeans for a day out or all dressed up for a night out! I love that it seems to last for quite awhile. other perfumes seem to fade away quickly but this seem to keep its potency!The bottle is really cute! This is a great perfume to buy for yourself or as a gift for someone else.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Heavenly Fragrance!,"This is one of my all time favorite perfumes. I still had a little lotion left and happened to stumble on it here online. As you probably can tell, I don't get out much to shopping malls and prefer to order things online with quick shipment. It smells Delicious!"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce","Lasts a long time, not too overpowering if I only use a couple sprays!","I get a lot of compliments when I wear this perfume, and it stays on most of my day, unlike most scents. I have realized, though, in order not to have too much of that perfume smell that some people find offensive, I need to only use a few sprays. Not too musky, and has a lavender sugar smell."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",La fragancia perfecta !!,"Muy suave y delicada fragancia para las mañanas y tardes inclusive ! La he usado por mucho tiempo , siempre recibo elogios al usarla . Recomendada 😃"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Lovely scent!,This has become my favorite perfume. I wear it all the time.  It lasts for quite awhile. The scent is very lovely. You can't go wrong with this perfume.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",vera wang princess spray 3.4 fl oz.,"arrived on time. Not the first purchase of this perfume. I am sure will buy in the future. Fair price, strong scent, long lasting scent."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Nice size for your money,Very clean smell
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Great gift!,"No, I don't use this for myself but my lady loves it so therefore so do I. It smells beautiful, I have no idea how to explain it but it doesn't smell like a basket of potpourri and not ""sexy"". I'd assume the younger female consumer (say 40 or younger) would probably take a liking to this more so than others, unless you're feeling rebellious or edgy."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Timeless!,"I have only bought 2 different perfumes my entire life and this is one of them! I absolutely love it, I usually buy 1-3 bottles of my favorite perfumes at beginning of the year and they last all year. This is in my aresenal every year!"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Well packaged.,"This is my third time buying this particular fragrance. It’s a lovely sweet smell without being immature or, ironically, Princess like. A very nice everyday smellThis vendor sent the bottle well packaged and in great condition. Five stars"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Great buy!,"Not sure why some are saying this is a fake product. I got this and it smells amazing and lasts so long, I get compliments all day everyday on it."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Perfume rating,"Your browser does not support HTML5 video.


   I used it for myself...it smells amazing I've started collecting perfume I will update when I get the full set up done"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Seems like the real thing! Happy buyer!,"I purchased this perfume awhile ago at a department store for over $85 ..!! When I found this on amazing I thought it was too good to be true, but believed the 300' some reviews and ordered it... recieved it the other day and it is LEGIT!!! Love this perfume and you cannot beat the price. Seems to stay on for a long time and it is the same bottle/product you would buy in the expensive deparment store! I will forever buy my perfumes on amazon! (from a legit seller)"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Nice fragrance. Smells a bit more like an older ...,"Nice fragrance. Smells a bit more like an older woman's perfume though. Like 30s to 40s. Smells a bit too mature for a 22 year old like me, but still a pleasant, sweet scent overall."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",smells good wish the scent lasted longer,"It smells nice but my husband and I can no longer smell the pretty perfume. I put it on this morning at 8:00am and its 4:52, he and I no longer smell it."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Wife loves it!,Gave it to her as a gift and she loves the smell. Seems to last. For the price hard to beat. In a very nice bottle.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",sweet smell 💘,perfect gift! been a fab for like 10 years now!
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Smells excellent!,I love it! Got on a whim and I am not disappointed. Light lovely scent that according to my daughter I smell yummy when a wear it.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Love love love!,I've been wearing this perfume for years. It's a very light floral scent. The bottle is really pretty on my vanity.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Definitely recommend,Definitely the real product here. I was a bit scare to try it but its only $20 so why not. Very long lasting a quite strong actually.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",That my package was safely delivered without damage,I used it for myself it was a gift 🎁 to me🥰 This perfume smells soooo good🥰 I would recommend..Thank You Amazon 🥰❤️
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Smells amazing. I didn't like it at first,"Smells amazing. I didn't like it at first.. I was so use to my other scents. But I stopped wearing perfume for awhile and gave this another try and I came to love it. It's very ""lady like""... That's how I would describe it. Definitely going to buy again when I run out!!"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Awesome perfume,This is one of my favorite perfumes.The fragrance smells beautifully and lasts a long time. I get lots of compliments when wearing it. And the price is great too.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Real product,Not a. Clone. Smell lasts as long as store purchased and is on point wife loves it
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce","Great Price, Timeless Scent","Timeless scent, been wearing this on and off since I was a teenager and I still get compliments. It's soft and feminine but doesn't bombard you with floral overtones (looking at you, Chanel). I can layer this on a bit through the day and it won't overpower. The price is great, too."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",So many compliments!,"I love this scent...and, apparently, so do many others. I get multiple compliments every time I wear this scent."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Buy it.... I'll be buying AGAIN 100%,"I'm confused about the bad reviews. I bought this from Macy's. Had the same scent. I even blind fold tested somebody & he could tell the Macy's one was the same scent from here. We went through several high end fragrances in the ""smell test"" Gucci, Dkny, givenchi, angel, Michael koors... he was able to recognize the vera wang. Good price, I'll buy again for sure."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",It smells good to me,A liter scent but it last with my body type. Bottle is cute and well made.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Gift,Bought as a gift for my wife based on reviews. We both like the scent.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",So worth it,"LOVE,LOVE this!!!!! I wear it every day n I will be buying for Christmas for family member"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Love this perfume!,It’s my favorite. It’s the second time buying this. First time was at Ulta. It’s much less expensive on Amazon.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",All time favorite,I've been using this perfume for years and I'm so glad I can still find it here! I hope it doesn't get discontinued!
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Pleasant smell without the overbearing “old lady” linger!,A nice youthful yet sophisticated smell! My wife loves it:-)
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Large beautiful bottle smells great!,Smells amazing!!! I love it!!! It's a big bottle so I may not need any for a while but I will re order this perfume again.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Nice gift,This was a gift for a friend who loved everything about it.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",very pretty smelling,my hand don't fit around bottle to spray-but I still use it
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Perfectly desirable,It smells wonderful I am so happy with this perfume love it
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",A happy surprise.,"Don’t laugh, but I’m a housebound senior citizen and bought this fragrance based on its product reviews … and I wasn’t disappointed! It’s beautiful, light and elegant. Thoroughly pleased. And I’ll buy it again!"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",One of my all time favorite scents,"I'm a mid twenties girl, and I am very picky when it comes to my fragrances. Vera Wang Princess is one I always keep in my inventory, it's definitely not an ""old lady"" perfume, but its not overly sweet and fruity like a teen girls perfume. Versatile enough to go from a casual day to a semi-formal night. I will purchase again when my current bottle goes empty."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce","Get some, love it...","Thank you Vera, this smells so Amazing. The price was even better."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Smells nice and great price,Great price for perfume. I already got a compliment wearing it.Pretty. The ring is loose on top of perfume but I'm OK with that
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Favorite perfume at great price delivered to my door,"Stores here no longer sell, was happy to find it  at a good price"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Love it,I’ve been looking all over for this scent. This seller had it for a reasonable price - so thrilled❤️
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Scent sprays strong but fades a little and then smells great. Bottle is cute,"Light, lovely scent.  Scent sprays strong but fades a little and then smells great.  Bottle is cute, 7 year old daughter thinks she has claimed it as hers since she thinks she's a princess and great size for the price.  Bought it on a whim and I actually like it."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Beautiful fragrance.,"Lasts a relatively long time, especially on clothes. A lovely, delicate fragrance."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Amazing!,This is one of my go-to scents. Absolutely love it and always get compliments.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Nice product..great gift..nice scent..,liked the price for the size bottle..sweet
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",LOVE Vera Wing Perfume,"It is a very light scent and Im allergic to many perfumes and I can use this without any problem at all. I spray 4 times and I love this smell. After an hour I dont smell it on myself like other perfumes, However everyone ask me what am I wearing and compliment the scent. This is a wonderful perfume. I bought a 2nd one for my mom and she loves it too! My girls love the princess cap!!"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Sexy fruity fragrance,Lovely soft playful fruity smell! Last a long time and the lingering smell the next day is warm and subtle. I’m usually not a fan of sweet or fruity fragrances but this ones my fave of that kind!
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Sweet and subtle,"I bought this scent because I really love fragrances with a bit of a cocoa and vanilla undertone. This fragrance is fun and subtle. I wear this fragrance daily in an office setting with a couple of people who are ""sensitive"" to fragrances and I haven't had a complaint yet. Mind you, I only do one spritz to keep it subtle and not overpowering, but when some people do take notice of the fragrance I have gotten a couple of compliments."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Good scent great value,A nice floral scent not too strong and lasts a long time.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Quality,It's the perfect soft scent of fruity chocolate.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Will buy again,I love it. Just that it does not have a lingering scent for long.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Smells like the real thing to me,Read the reviews and I was very very happy when it arrived it smells like the real thing I love the beautiful bottle and I had it on for an hour and it still smells wonderful
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Excellent product!,I bought this as a gift and she absolutely loves it. Smells great. Highly recommended!
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",100% great product,This is my Jam!! It's such a wonderful and fresh scent!! Beautiful really!! I've been using it for many years.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Your daughters will love it!,I gave them as gifts and one for me. My daughters loved them.The scent doesnt stay very long.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Excelente producto.,Excelente producto.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Fantastic,This smells fantastic
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Great!!!,"Purchased as a Christmas gift for my sister and she loves it!! It's a beautiful scent, lasts pretty long, and the bottle was huge. Happy customer!"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Great everyday scent!,"Love this!  Great sent, strong vanilla scent that lasts bit doesn't overwhelm."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Vera wang Princess Perfume is an  awesome Pretty scent ❤️,"This has an awesome  Scent,"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Classic scent,Always love this scent. Decent price for quantity and quality.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Fragrance,Live the fragrance. Very soft smell not over powering.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Lasts for a long time,This was gift for my grandma and it not only smells nice the scent lasts for a long period of time.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Good,Good design~
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Great,As expected
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Awesome,Good products
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Better than department store prices,Great deal
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Fast delivery,"Your browser does not support HTML5 video.


   I love the scent not too strong very sweet smell. This would be a great gift for Valentine’s Day. Any lady would love."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Great perfume for the price,"I am not a perfume person, but I like the smell of this one. Just a little bit goes a long way for me, which is also nice seeing how affordable it is."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Great product !!,It’s ok
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Loved!,Ended up ordering 3 for my kid’s teachers. They fell in love! Beautiful packaging and scent.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce","A+, would recommend","My favorite perfume of all time. The scent lasts for quite a few hours, I really enjoy this perfume. This has always been my go to for a daily perfume and have repurchased multiple times over the years."
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Perfume price what a deal,What a great price on this bottle of perfume. Now I know how department stores make their money. This bottle of perfume is $70.00 at kohl's plus you get a much smaller bottle. I know the days of buying stuff tax free are going to end because I am sure congress will pass a bill so that online merchants will make us pay sales tax. But I will take advantage of this while I can. Great price and my wife loves the smell and I even have money left over to buy some fishing lures
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Not a Fake,"I was hesitant to buy, however it was on sale for $15 and couldn’t pass up a good deal. Worst case scenario is that I lost $15 and I had to throw away. Upon receipt, the first thing I did was spritz the perfume and it smells just the same!"
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Great gift,Great gift idea. Smells really good
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Love it!,Very nice scent.
5.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",One of my classics,I’ve been using this for 10+ years! Quality is the same as it was back then from when I would purchase from Macy’s. This is my second time ordering off Amazon. Love it!
